Team	Num Shots Against	EFG	Situational EFG (qSQ)	EFG+ (qSI)	Shots Against per 100 Possessions	Video Link
LAL	7322	51.42037694618956	51.14841905771691	0.27195788847265484	89.92876443134365	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2213%22%5D%7D>Watch</a>
HOU	7184	49.018652561247215	50.36680421695322	-1.3481516557060043	90.01378273399322	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2210%22%5D%7D>Watch</a>
POR	7171	48.90531306651792	49.179592322634484	-0.27427925611656206	90.96790561968794	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2222%22%5D%7D>Watch</a>
DEN	7053	50.03544590954204	50.12455753486493	-0.08911162532288497	87.11709486166008	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%227%22%5D%7D>Watch</a>
MIN	6996	52.02258433390509	50.22124824007853	1.8013360938265557	86.66997026759168	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2216%22%5D%7D>Watch</a>
SAS	6944	48.28629032258065	47.80850458563447	0.4777857369461738	88.2450120726903	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2224%22%5D%7D>Watch</a>
PHI	6938	52.680887863937734	51.089218080712264	1.5916697832254678	84.42443416889755	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2220%22%5D%7D>Watch</a>
LAC	6931	48.513922954840574	50.47112629178207	-1.9572033369415014	87.64542235710672	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2212%22%5D%7D>Watch</a>
ORL	6839	50.40210557098991	49.22004176588503	1.1820638051048797	87.87100089939612	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2219%22%5D%7D>Watch</a>
CLE	6816	50.66021126760563	50.06640798943159	0.5938032781740444	88.2558591221028	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%225%22%5D%7D>Watch</a>
OKC	6814	48.74523040798356	50.49993562741462	-1.7547052194310586	86.11146215089094	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2225%22%5D%7D>Watch</a>
