year,team,opp,games
2014, ATL , IND ,7
2014, BRK , MIA ,5
2014, BRK , TOR ,7
2014, CHA , MIA ,4
2014, CHI , WAS ,5
2014, DAL , SAS ,7
2014, GSW , LAC ,7
2014, HOU , POR ,6
2014, IND , ATL ,7
2014, IND , MIA ,6
2014, IND , WAS ,6
2014, LAC , GSW ,7
2014, LAC , OKC ,6
2014, MEM , OKC ,7
2014, MIA , BRK ,5
2014, MIA , CHA ,4
2014, MIA , IND ,6
2014, MIA , SAS ,5
2014, OKC , LAC ,6
2014, OKC , MEM ,7
2014, OKC , SAS ,6
2014, POR , HOU ,6
2014, POR , SAS ,5
2014, SAS , DAL ,7
2014, SAS , MIA ,5
2014, SAS , OKC ,6
2014, SAS , POR ,5
2014, TOR , BRK ,7
2014, WAS , CHI ,5
2014, WAS , IND ,6
2015, ATL , BRK ,6
2015, ATL , CLE ,4
2015, ATL , WAS ,6
2015, BOS , CLE ,4
2015, BRK , ATL ,6
2015, CHI , CLE ,6
2015, CHI , MIL ,6
2015, CLE , ATL ,4
2015, CLE , BOS ,4
2015, CLE , CHI ,6
2015, CLE , GSW ,6
2015, DAL , HOU ,5
2015, GSW , CLE ,6
2015, GSW , HOU ,5
2015, GSW , MEM ,6
2015, GSW , NOP ,4
2015, HOU , DAL ,5
2015, HOU , GSW ,5
2015, HOU , LAC ,7
2015, LAC , HOU ,7
2015, LAC , SAS ,7
2015, MEM , GSW ,6
2015, MEM , POR ,5
2015, MIL , CHI ,6
2015, NOP , GSW ,4
2015, POR , MEM ,5
2015, SAS , LAC ,7
2015, TOR , WAS ,4
2015, WAS , ATL ,6
2015, WAS , TOR ,4
2016, ATL , BOS ,5
2016, BOS , ATL ,5
2016, CHO , MIA ,4
2016, CLE , DET ,4
2016, DAL , OKC ,5
2016, DET , CLE ,4
2016, GSW , HOU ,4
2016, HOU , GSW ,4
2016, IND , TOR ,5
2016, LAC , POR ,4
2016, MEM , SAS ,4
2016, MIA , CHO ,4
2016, OKC , DAL ,5
2016, POR , LAC ,4
2016, SAS , MEM ,4
2016, TOR , IND ,5
