Team	Num Shots	EFG	Situational EFG (qSQ)	EFG+ (qSI)	Shots per 100 Possessions	Video Link
MIN	7147	48.649783125787046	50.93208514535844	-2.282302019571399	88.57355310447392	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2216%22%5D%7D>Watch</a>
PHI	7123	47.66250175487856	50.64089295883454	-2.97839120395598	86.90824792581748	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2220%22%5D%7D>Watch</a>
POR	7096	50.42981961668546	49.67253170403873	0.7572879126467249	89.98224702003552	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2222%22%5D%7D>Watch</a>
DET	7081	48.368874452760906	50.57508708770578	-2.2062126349448747	90.22680937818552	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%228%22%5D%7D>Watch</a>
DEN	7007	49.83587840730698	50.91216018240437	-1.0762817750973954	86.52753766362065	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%227%22%5D%7D>Watch</a>
LAL	6954	50.575208513086	50.01634680869966	0.5588617043863384	85.74599260172626	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2213%22%5D%7D>Watch</a>
CLE	6917	47.93985832008096	48.541190448520915	-0.6013321284399549	89.59844559585493	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%225%22%5D%7D>Watch</a>
GSW	6858	51.786235053951586	49.97228120461321	1.813953849338381	87.37418779462351	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%229%22%5D%7D>Watch</a>
DAL	6851	52.6857393081302	49.986689579428834	2.6990497287013637	87.76582116320779	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%226%22%5D%7D>Watch</a>
BOS	6849	47.824499926996644	48.84950595009506	-1.025006023098416	88.83268482490271	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%222%22%5D%7D>Watch</a>
SAS	6844	53.652834599649324	51.005913087744894	2.646921511904437	87.20693170234455	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2224%22%5D%7D>Watch</a>
PHX	6799	52.06648036475952	51.21731030495081	0.8491700598087139	86.31458677161355	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2221%22%5D%7D>Watch</a>
WAS	6799	50.62509192528313	49.792228325715506	0.8328635995676252	88.13844957220638	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2227%22%5D%7D>Watch</a>
OKC	6765	52.03252032520325	49.58308594362106	2.4494343815821913	85.42745296123248	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2225%22%5D%7D>Watch</a>
ORL	6756	48.69745411486087	48.85150457463138	-0.15405045977051546	86.87154429728687	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2219%22%5D%7D>Watch</a>
